epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
112,3086.4,1.20292,0.65227,0.96534,0.86705,0.7942,0.8759,0.54982,1.1012,0.60791,0.97423,0.0009011,0.0009011,0.0009011
113,3113.83,1.19567,0.65172,0.95769,0.86085,0.7944,0.86819,0.53066,1.12895,0.62432,0.98344,0.0008912,0.0008912,0.0008912
114,3141.14,1.19716,0.6581,0.9636,0.87611,0.78471,0.87251,0.54376,1.11526,0.6128,0.97581,0.0008813,0.0008813,0.0008813
115,3168.73,1.19297,0.65071,0.95738,0.88577,0.77317,0.87172,0.54014,1.10794,0.59914,0.97825,0.0008714,0.0008714,0.0008714
116,3195.92,1.18354,0.64622,0.95577,0.88445,0.77565,0.87169,0.54812,1.08894,0.59421,0.97117,0.0008615,0.0008615,0.0008615
117,3223.65,1.18032,0.64431,0.95712,0.87795,0.78072,0.87277,0.54612,1.09559,0.60874,0.97636,0.0008516,0.0008516,0.0008516
118,3251.5,1.1605,0.63528,0.95562,0.88441,0.79504,0.88198,0.5608,1.07591,0.59629,0.96736,0.0008417,0.0008417,0.0008417
119,3279.17,1.1755,0.64081,0.95656,0.87505,0.79259,0.8763,0.54906,1.08544,0.59169,0.97425,0.0008318,0.0008318,0.0008318
120,3307.05,1.18483,0.63907,0.95158,0.87868,0.78469,0.87111,0.54197,1.11045,0.60592,0.98148,0.0008219,0.0008219,0.0008219
121,3334.7,1.1737,0.63729,0.95224,0.87746,0.79704,0.88054,0.55697,1.0792,0.58435,0.97037,0.000812,0.000812,0.000812
122,3362.18,1.17587,0.63822,0.95531,0.88108,0.78623,0.87449,0.5512,1.09347,0.59234,0.97311,0.0008021,0.0008021,0.0008021
123,3389.59,1.15839,0.6321,0.94931,0.88655,0.78954,0.87979,0.55733,1.07905,0.59334,0.96917,0.0007922,0.0007922,0.0007922
124,3416.87,1.18475,0.644,0.95447,0.87821,0.79175,0.88034,0.55728,1.07554,0.58617,0.9679,0.0007823,0.0007823,0.0007823
125,3444.29,1.18403,0.63782,0.95343,0.87284,0.7891,0.87076,0.54772,1.09861,0.59412,0.97429,0.0007724,0.0007724,0.0007724
126,3471.67,1.17155,0.63368,0.94885,0.88299,0.78411,0.87581,0.55618,1.07995,0.58556,0.96872,0.0007625,0.0007625,0.0007625
127,3499.03,1.17187,0.6299,0.94582,0.87434,0.77962,0.87083,0.54258,1.10325,0.59217,0.97567,0.0007526,0.0007526,0.0007526
128,3526.69,1.17661,0.63664,0.94587,0.87129,0.80043,0.87777,0.55159,1.09146,0.59277,0.97152,0.0007427,0.0007427,0.0007427
129,3554.42,1.16955,0.63288,0.94909,0.8837,0.78976,0.87975,0.55493,1.08863,0.59064,0.97106,0.0007328,0.0007328,0.0007328
130,3582.11,1.16411,0.62991,0.94547,0.88343,0.78668,0.87951,0.55366,1.0886,0.58727,0.97009,0.0007229,0.0007229,0.0007229
131,3609.37,1.15252,0.62269,0.94594,0.87606,0.78902,0.8778,0.5546,1.08163,0.5872,0.96996,0.000713,0.000713,0.000713
132,3636.72,1.15502,0.62422,0.94539,0.87292,0.79558,0.87656,0.55259,1.07518,0.58887,0.97009,0.0007031,0.0007031,0.0007031
133,3664.54,1.14698,0.62061,0.94389,0.88013,0.78822,0.87785,0.55204,1.09129,0.58862,0.96955,0.0006932,0.0006932,0.0006932
134,3691.79,1.15715,0.62535,0.95094,0.88604,0.79263,0.88212,0.56161,1.06679,0.58342,0.96473,0.0006833,0.0006833,0.0006833
135,3718.85,1.14023,0.61743,0.94834,0.88204,0.78998,0.88036,0.55347,1.09567,0.58667,0.97124,0.0006734,0.0006734,0.0006734
136,3746.33,1.15332,0.62248,0.94449,0.87596,0.80013,0.8855,0.56088,1.07131,0.58254,0.96345,0.0006635,0.0006635,0.0006635
137,3773.89,1.14336,0.61836,0.9432,0.88382,0.79377,0.88435,0.56358,1.06404,0.57762,0.96096,0.0006536,0.0006536,0.0006536
138,3801.47,1.14535,0.61674,0.9408,0.89113,0.78549,0.88009,0.55527,1.07444,0.57891,0.96619,0.0006437,0.0006437,0.0006437
139,3828.6,1.14855,0.62034,0.94463,0.88378,0.79347,0.88011,0.5594,1.06774,0.58283,0.96241,0.0006338,0.0006338,0.0006338
140,3855.86,1.15354,0.61969,0.94302,0.88873,0.79293,0.88147,0.55732,1.07751,0.58071,0.96409,0.0006239,0.0006239,0.0006239
141,3882.99,1.14182,0.61311,0.9407,0.8752,0.7983,0.87956,0.56205,1.07285,0.5863,0.96775,0.000614,0.000614,0.000614
142,3910.03,1.13975,0.61465,0.94046,0.88517,0.79219,0.88281,0.56263,1.06202,0.57158,0.96202,0.0006041,0.0006041,0.0006041
143,3937.35,1.14926,0.61616,0.94085,0.87332,0.78932,0.87438,0.5549,1.07745,0.58007,0.96923,0.0005942,0.0005942,0.0005942
144,3964.81,1.14185,0.61662,0.94505,0.87991,0.80719,0.8849,0.56285,1.0673,0.57433,0.9656,0.0005843,0.0005843,0.0005843
145,3992.18,1.12817,0.60888,0.93837,0.87485,0.79528,0.88126,0.56274,1.05908,0.57583,0.96199,0.0005744,0.0005744,0.0005744
146,4019.61,1.13431,0.61565,0.93849,0.86474,0.79968,0.87773,0.55426,1.07452,0.58815,0.96581,0.0005645,0.0005645,0.0005645
147,4046.93,1.12739,0.6087,0.93845,0.87835,0.79991,0.88341,0.56074,1.08003,0.57886,0.96643,0.0005546,0.0005546,0.0005546
148,4074.02,1.13642,0.61457,0.93825,0.87875,0.78756,0.88025,0.55558,1.08189,0.58503,0.96928,0.0005447,0.0005447,0.0005447
149,4101.58,1.13693,0.61546,0.94024,0.88844,0.78885,0.87802,0.5569,1.08177,0.58284,0.96864,0.0005348,0.0005348,0.0005348
150,4129.33,1.13959,0.61863,0.93797,0.88098,0.7869,0.87596,0.55442,1.09918,0.59299,0.97251,0.0005249,0.0005249,0.0005249
151,4156.51,1.15638,0.62639,0.93401,0.87445,0.8019,0.8789,0.5536,1.09707,0.59693,0.97211,0.000515,0.000515,0.000515
152,4184.31,1.14955,0.62861,0.93752,0.88203,0.79021,0.87934,0.55589,1.1031,0.59633,0.97338,0.0005051,0.0005051,0.0005051
153,4211.63,1.1429,0.62715,0.93568,0.88792,0.79484,0.88258,0.56322,1.07982,0.59341,0.96462,0.0004952,0.0004952,0.0004952
154,4239.28,1.14783,0.62494,0.93383,0.88347,0.79945,0.88507,0.56594,1.07472,0.5915,0.96057,0.0004853,0.0004853,0.0004853
155,4266.07,1.13515,0.62823,0.93164,0.87669,0.80302,0.88277,0.56313,1.08124,0.59427,0.95979,0.0004754,0.0004754,0.0004754
156,4293.21,1.14044,0.62878,0.93159,0.87409,0.80406,0.88723,0.56533,1.07903,0.58692,0.96047,0.0004655,0.0004655,0.0004655
157,4320.39,1.14615,0.62809,0.92887,0.87852,0.79969,0.88551,0.56562,1.08083,0.59053,0.95998,0.0004556,0.0004556,0.0004556
158,4347.51,1.14584,0.62783,0.93357,0.88574,0.79991,0.8854,0.56702,1.07485,0.58419,0.95737,0.0004457,0.0004457,0.0004457
